pass_index,total_bill,tip,smoker,day,time,size
886,19.44,3.0,Yes,Thur,Lunch,2
20,16.66,3.4,No,Thur,Lunch,2
291,10.07,1.83,No,Thur,Lunch,1
239,32.68,5.0,Yes,Thur,Lunch,2
377,15.98,2.03,No,Thur,Lunch,2
842,34.83,5.17,No,Thur,Lunch,4
370,13.03,2.0,No,Thur,Lunch,2
174,18.28,4.0,No,Thur,Lunch,2
434,24.71,5.85,No,Thur,Lunch,2
342,21.16,3.0,No,Thur,Lunch,2
21,28.97,3.0,Yes,Fri,Dinner,2
62,22.49,3.5,No,Fri,Dinner,2
136,5.75,1.0,Yes,Fri,Dinner,2
669,16.32,4.3,Yes,Fri,Dinner,2
190,22.75,3.25,No,Fri,Dinner,2
438,40.17,4.73,Yes,Fri,Dinner,4
822,27.28,4.0,Yes,Fri,Dinner,2
191,12.03,1.5,Yes,Fri,Dinner,2
812,21.01,3.0,Yes,Fri,Dinner,2
20,12.46,1.5,No,Fri,Dinner,2
546,11.35,2.5,Yes,Fri,Dinner,2
341,15.38,3.0,Yes,Fri,Dinner,2
779,44.3,2.5,Yes,Sat,Dinner,3
258,22.42,3.48,Yes,Sat,Dinner,2
742,20.92,4.08,No,Sat,Dinner,2
662,15.36,1.64,Yes,Sat,Dinner,2
72,20.49,4.06,Yes,Sat,Dinner,2
21,25.21,4.29,Yes,Sat,Dinner,2
665,18.24,3.76,No,Sat,Dinner,2
754,14.31,4.0,Yes,Sat,Dinner,2
343,14.0,3.0,No,Sat,Dinner,2
609,7.25,1.0,No,Sat,Dinner,1
594,38.07,4.0,No,Sun,Dinner,3
224,23.95,2.55,No,Sun,Dinner,2
540,25.71,4.0,No,Sun,Dinner,3
257,17.31,3.5,No,Sun,Dinner,2
602,29.93,5.07,No,Sun,Dinner,4
291,10.65,1.5,No,Thur,Lunch,2
190,12.43,1.8,No,Thur,Lunch,2
759,24.08,2.92,No,Thur,Lunch,4
181,11.69,2.31,No,Thur,Lunch,2
513,13.42,1.68,No,Thur,Lunch,2
242,14.26,2.5,No,Thur,Lunch,2
226,15.95,2.0,No,Thur,Lunch,2
306,12.48,2.52,No,Thur,Lunch,2
306,29.8,4.2,No,Thur,Lunch,6
295,8.52,1.48,No,Thur,Lunch,2
291,14.52,2.0,No,Thur,Lunch,2
835,11.38,2.0,No,Thur,Lunch,2
117,22.82,2.18,No,Thur,Lunch,3
562,19.08,1.5,No,Thur,Lunch,2
1,20.27,2.83,No,Thur,Lunch,2
290,11.17,1.5,No,Thur,Lunch,2
1,12.26,2.0,No,Thur,Lunch,2
759,18.26,3.25,No,Thur,Lunch,2
318,8.51,1.25,No,Thur,Lunch,2
211,10.33,2.0,No,Thur,Lunch,2
399,14.15,2.0,No,Thur,Lunch,2
547,16.0,2.0,Yes,Thur,Lunch,2
591,13.16,2.75,No,Thur,Lunch,2
151,17.47,3.5,No,Thur,Lunch,2
815,34.3,6.7,No,Thur,Lunch,6
757,41.19,5.0,No,Thur,Lunch,5
708,27.05,5.0,No,Thur,Lunch,6
608,16.43,2.3,No,Thur,Lunch,2
316,8.35,1.5,No,Thur,Lunch,2
375,18.64,1.36,No,Thur,Lunch,3
318,11.87,1.63,No,Thur,Lunch,2
30,9.78,1.73,No,Thur,Lunch,2
413,7.51,2.0,No,Thur,Lunch,2
344,14.07,2.5,No,Sun,Dinner,2
191,13.13,2.0,No,Sun,Dinner,2
447,17.26,2.74,No,Sun,Dinner,3
191,24.55,2.0,No,Sun,Dinner,4
191,19.77,2.0,No,Sun,Dinner,4
874,29.85,5.14,No,Sun,Dinner,5
701,48.17,5.0,No,Sun,Dinner,6
796,25.0,3.75,No,Sun,Dinner,4
380,13.39,2.61,No,Sun,Dinner,2
453,16.49,2.0,No,Sun,Dinner,4
555,21.5,3.5,No,Sun,Dinner,4
711,12.66,2.5,No,Sun,Dinner,2
608,16.21,2.0,No,Sun,Dinner,3
343,13.81,2.0,No,Sun,Dinner,2
257,17.51,3.0,Yes,Sun,Dinner,2
92,24.52,3.48,No,Sun,Dinner,3
673,20.76,2.24,No,Sun,Dinner,2
492,31.71,4.5,No,Sun,Dinner,4
322,10.59,1.61,Yes,Sat,Dinner,2
874,10.63,2.0,Yes,Sat,Dinner,2
224,50.81,10.0,Yes,Sat,Dinner,3
748,15.81,3.16,Yes,Sat,Dinner,2
148,7.25,5.15,Yes,Sun,Dinner,2
572,31.85,3.18,Yes,Sun,Dinner,2
242,16.82,4.0,Yes,Sun,Dinner,2
344,32.9,3.11,Yes,Sun,Dinner,2
619,17.89,2.0,Yes,Sun,Dinner,2
298,14.48,2.0,Yes,Sun,Dinner,2
259,9.6,4.0,Yes,Sun,Dinner,2
583,34.63,3.55,Yes,Sun,Dinner,2
551,34.65,3.68,Yes,Sun,Dinner,4
711,23.33,5.65,Yes,Sun,Dinner,2
795,45.35,3.5,Yes,Sun,Dinner,3
694,23.17,6.5,Yes,Sun,Dinner,4
822,40.55,3.0,Yes,Sun,Dinner,2
72,20.69,5.0,No,Sun,Dinner,5
393,20.9,3.5,Yes,Sun,Dinner,3
800,30.46,2.0,Yes,Sun,Dinner,5
627,18.15,3.5,Yes,Sun,Dinner,3
55,23.1,4.0,Yes,Sun,Dinner,3
398,15.69,1.5,Yes,Sun,Dinner,2
796,19.81,4.19,Yes,Thur,Lunch,2
583,28.44,2.56,Yes,Thur,Lunch,2
621,15.48,2.02,Yes,Thur,Lunch,2
124,16.58,4.0,Yes,Thur,Lunch,2
666,7.56,1.44,No,Thur,Lunch,2
782,10.34,2.0,Yes,Thur,Lunch,2
161,43.11,5.0,Yes,Thur,Lunch,4
299,13.0,2.0,Yes,Thur,Lunch,2
413,13.51,2.0,Yes,Thur,Lunch,2
723,18.71,4.0,Yes,Thur,Lunch,3
61,12.74,2.01,Yes,Thur,Lunch,2
417,13.0,2.0,Yes,Thur,Lunch,2
669,16.4,2.5,Yes,Thur,Lunch,2
705,20.53,4.0,Yes,Thur,Lunch,4
546,16.47,3.23,Yes,Thur,Lunch,3
449,26.59,3.41,Yes,Sat,Dinner,3
331,38.73,3.0,Yes,Sat,Dinner,4
481,24.27,2.03,Yes,Sat,Dinner,2
399,12.76,2.23,Yes,Sat,Dinner,2
332,30.06,2.0,Yes,Sat,Dinner,3
740,25.89,5.16,Yes,Sat,Dinner,4
543,48.33,9.0,No,Sat,Dinner,4
730,13.27,2.5,Yes,Sat,Dinner,2
98,28.17,6.5,Yes,Sat,Dinner,3
399,12.9,1.1,Yes,Sat,Dinner,2
481,28.15,3.0,Yes,Sat,Dinner,5
33,11.59,1.5,Yes,Sat,Dinner,2
236,7.74,1.44,Yes,Sat,Dinner,2
520,30.14,3.09,Yes,Sat,Dinner,4
148,12.16,2.2,Yes,Fri,Lunch,2
1,13.42,3.48,Yes,Fri,Lunch,2
698,8.58,1.92,Yes,Fri,Lunch,1
194,15.98,3.0,No,Fri,Lunch,3
33,13.42,1.58,Yes,Fri,Lunch,2
247,16.27,2.5,Yes,Fri,Lunch,2
319,10.09,2.0,Yes,Fri,Lunch,2
447,20.45,3.0,No,Sat,Dinner,4
536,13.28,2.72,No,Sat,Dinner,2
316,22.12,2.88,Yes,Sat,Dinner,2
277,24.01,2.0,Yes,Sat,Dinner,4
377,15.69,3.0,Yes,Sat,Dinner,3
228,11.61,3.39,No,Sat,Dinner,2
314,10.77,1.47,No,Sat,Dinner,2
733,15.53,3.0,Yes,Sat,Dinner,2
336,10.07,1.25,No,Sat,Dinner,2
438,12.6,1.0,Yes,Sat,Dinner,2
97,32.83,1.17,Yes,Sat,Dinner,2
457,35.83,4.67,No,Sat,Dinner,3
405,29.03,5.92,No,Sat,Dinner,3
66,27.18,2.0,Yes,Sat,Dinner,2
460,22.67,2.0,Yes,Sat,Dinner,2
217,17.82,1.75,No,Sat,Dinner,2
306,18.78,3.0,No,Thur,Dinner,2
